,fwd,vol,strike,expiry,pv,pv_ml
0,1.0,0.3,100.0,0.1,0.0,0.2130394
1,2.0,0.3,100.0,0.1,0.0,0.20439911
2,3.0,0.3,100.0,0.1,1.0221037058070644e-300,0.1979332
3,4.0,0.3,100.0,0.1,6.724370668737585e-254,0.18497467
4,5.0,0.3,100.0,0.1,2.495166152186936e-220,0.16440582
5,6.0,0.3,100.0,0.1,1.1097702980372504e-194,0.13294983
6,7.0,0.3,100.0,0.1,3.0324579501551518e-174,0.101501465
7,8.0,0.3,100.0,0.1,1.8206517003399215e-157,0.0705986
8,9.0,0.3,100.0,0.1,2.2266400657024433e-143,0.041439056
9,10.0,0.3,100.0,0.1,2.419707104322477e-131,0.02602005
10,11.0,0.3,100.0,0.1,6.483811225201343e-121,0.020549774
11,12.0,0.3,100.0,0.1,8.923589743487435e-112,0.015972137
12,13.0,0.3,100.0,0.1,1.0863877451463244e-103,0.008731842
13,14.0,0.3,100.0,0.1,1.7679847532440332e-96,0.0014877319
14,15.0,0.3,100.0,0.1,5.297791919140503e-90,-0.0057411194
15,16.0,0.3,100.0,0.1,3.764025494293167e-84,-0.011550903
16,17.0,0.3,100.0,0.1,7.766495552057307e-79,-0.016963959
17,18.0,0.3,100.0,0.1,5.487966921481836e-74,-0.01574707
18,19.0,0.3,100.0,0.1,1.5209602209291047e-69,-0.006801605
19,20.0,0.3,100.0,0.1,1.8506535655108847e-65,0.010128021
20,21.0,0.3,100.0,0.1,1.0868009218961332e-61,0.028446198
21,22.0,0.3,100.0,0.1,3.337365653401231e-58,0.04675293
22,23.0,0.3,100.0,0.1,5.738364219747571e-55,0.062618256
23,24.0,0.3,100.0,0.1,5.859000387934426e-52,0.0770874
24,25.0,0.3,100.0,0.1,3.737483321921361e-49,0.08506775
25,26.0,0.3,100.0,0.1,1.5568705319994687e-46,0.093551636
26,27.0,0.3,100.0,0.1,4.401824548275909e-44,0.09973526
27,28.0,0.3,100.0,0.1,8.739312457892195e-42,0.10342026
28,29.0,0.3,100.0,0.1,1.2555018898409707e-39,0.107097626
29,30.0,0.3,100.0,0.1,1.3403236312423421e-37,0.11077881
30,31.0,0.3,100.0,0.1,1.0887900988866913e-35,0.11988449
31,32.0,0.3,100.0,0.1,6.8741230212199705e-34,0.121227264
32,33.0,0.3,100.0,0.1,3.4377717394664885e-32,0.11923218
33,34.0,0.3,100.0,0.1,1.3853035480793275e-30,0.11722946
34,35.0,0.3,100.0,0.1,4.567932146903289e-29,0.1176033
35,36.0,0.3,100.0,0.1,1.2498698705930506e-27,0.11853027
36,37.0,0.3,100.0,0.1,2.873984235205197e-26,0.11946869
37,38.0,0.3,100.0,0.1,5.618071785258192e-25,0.09990692
38,39.0,0.3,100.0,0.1,9.435024847451621e-24,0.07784271
