,fwd,vol,strike,expiry,pv,pv_ml
0,1.0,0.3,80.0,0.1,0.0,0.116737366
1,2.0,0.3,80.0,0.1,0.0,0.11697388
2,3.0,0.3,80.0,0.1,3.753863085951338e-264,0.11767197
3,4.0,0.3,80.0,0.1,1.996132921749569e-220,0.12304306
4,5.0,0.3,80.0,0.1,2.9625526048715148e-189,0.12840271
5,6.0,0.3,80.0,0.1,1.4490944761751172e-165,0.13376617
6,7.0,0.3,80.0,0.1,8.751764695505058e-147,0.13913727
7,8.0,0.3,80.0,0.1,1.9357656834579816e-131,0.14450073
8,9.0,0.3,80.0,0.1,1.2884924294835445e-118,0.14985657
9,10.0,0.3,80.0,0.1,1.0368123093489762e-107,0.1545906
10,11.0,0.3,80.0,0.1,2.6390814867295952e-98,0.13837051
11,12.0,0.3,80.0,0.1,4.238233535312358e-90,0.117996216
12,13.0,0.3,80.0,0.1,7.15620943497411e-83,0.10334015
13,14.0,0.3,80.0,0.1,1.871280638252136e-76,0.094501495
14,15.0,0.3,80.0,0.1,1.022849890837987e-70,0.08985901
15,16.0,0.3,80.0,0.1,1.480522852408697e-65,0.08520508
16,17.0,0.3,80.0,0.1,6.858215586296132e-61,0.08641815
17,18.0,0.3,80.0,0.1,1.1857304717881042e-56,0.093063354
18,19.0,0.3,80.0,0.1,8.681901922463182e-53,0.10131836
19,20.0,0.3,80.0,0.1,2.989986657537089e-49,0.09868622
20,21.0,0.3,80.0,0.1,5.288790895046116e-46,0.09513092
21,22.0,0.3,80.0,0.1,5.175892180239622e-43,0.09597397
22,23.0,0.3,80.0,0.1,2.9859979699326614e-40,0.10342789
23,24.0,0.3,80.0,0.1,1.072258904993863e-37,0.10895538
24,25.0,0.3,80.0,0.1,2.512042904364231e-35,0.11110687
25,26.0,0.3,80.0,0.1,3.999511119886702e-33,0.10248947
26,27.0,0.3,80.0,0.1,4.4846972506571086e-31,0.091781616
27,28.0,0.3,80.0,0.1,3.65434571752266e-29,0.08395004
28,29.0,0.3,80.0,0.1,2.224521158083221e-27,0.07535553
29,30.0,0.3,80.0,0.1,1.0366809308920982e-25,0.07032013
30,31.0,0.3,80.0,0.1,3.780000529342517e-24,0.0710907
31,32.0,0.3,80.0,0.1,1.0995629506997673e-22,0.067661285
32,33.0,0.3,80.0,0.1,2.5965404325054094e-21,0.06425476
33,34.0,0.3,80.0,0.1,5.0561255210864225e-20,0.055416107
34,35.0,0.3,80.0,0.1,8.234199943189266e-19,0.040153503
35,36.0,0.3,80.0,0.1,1.1359330151322823e-17,0.0354805
36,37.0,0.3,80.0,0.1,1.3428967206264025e-16,0.04437256
37,38.0,0.3,80.0,0.1,1.374883283684816e-15,0.05328369
38,39.0,0.3,80.0,0.1,1.2308150786258111e-14,0.049114227
39,40.0,0.3,80.0,0.1,9.719287704841823e-14,0.047985077
40,41.0,0.3,80.0,0.1,6.82465938628743e-13,0.05214691
41,42.0,0.3,80.0,0.1,4.292753677197282e-12,0.05441284
42,43.0,0.3,80.0,0.1,2.4352629798207175e-11,0.052913666
43,44.0,0.3,80.0,0.1,1.253793749248697e-10,0.04790497
44,45.0,0.3,80.0,0.1,5.892288042459177e-10,0.04184723
45,46.0,0.3,80.0,0.1,2.541200173510868e-09,0.029838562
46,47.0,0.3,80.0,0.1,1.0107418382166582e-08,0.01606369
47,48.0,0.3,80.0,0.1,3.724632366120138e-08,3.0517578e-05
48,49.0,0.3,80.0,0.1,1.2770967857224468e-07,-0.027469635
49,50.0,0.3,80.0,0.1,4.090624234550318e-07,-0.05770874
50,51.0,0.3,80.0,0.1,1.2285502190454784e-06,-0.087947845
51,52.0,0.3,80.0,0.1,3.471683595668957e-06,-0.11672592
52,53.0,0.3,80.0,0.1,9.260637598046439e-06,-0.14348984
53,54.0,0.3,80.0,0.1,2.3389250125218026e-05,-0.16847229
54,55.0,0.3,80.0,0.1,5.609270794554701e-05,-0.1939621
55,56.0,0.3,80.0,0.1,0.00012807868924954308,-0.25478363
56,57.0,0.3,80.0,0.1,0.00027914191824615284,-0.3059044
57,58.0,0.3,80.0,0.1,0.0005820838254311615,-0.3445549
58,59.0,0.3,80.0,0.1,0.0011639520753656263,-0.38151932
59,60.0,0.3,80.0,0.1,0.002236646607952794,-0.41596985
60,61.0,0.3,80.0,0.1,0.004138537809008747,-0.431633
61,62.0,0.3,80.0,0.1,0.007387765884043995,-0.42411423
62,63.0,0.3,80.0,0.1,0.01274628328166394,-0.40298843
63,64.0,0.3,80.0,0.1,0.021291550040396734,-0.3754387
64,65.0,0.3,80.0,0.1,0.03449035077146978,-0.31120682
65,66.0,0.3,80.0,0.1,0.054266882633539515,-0.20306778
66,67.0,0.3,80.0,0.1,0.08305556887995369,-0.07828522
67,68.0,0.3,80.0,0.1,0.12382847248935436,0.04663849
68,69.0,0.3,80.0,0.1,0.1800880750107412,0.17625046
69,70.0,0.3,80.0,0.1,0.25581866294170386,0.31595612
70,71.0,0.3,80.0,0.1,0.35539344449326027,0.47746277
71,72.0,0.3,80.0,0.1,0.48343932923310007,0.68242645
72,73.0,0.3,80.0,0.1,0.6446663536802983,0.90226746
73,74.0,0.3,80.0,0.1,0.8436732544385812,1.1919899
74,75.0,0.3,80.0,0.1,1.0847439690789038,1.4927902
75,76.0,0.3,80.0,0.1,1.3716513763792513,1.7934036
76,77.0,0.3,80.0,0.1,1.7074841549727644,2.0940132
77,78.0,0.3,80.0,0.1,2.094510344329862,2.4156456
78,79.0,0.3,80.0,0.1,2.5340874175180517,2.7965279
79,80.0,0.3,80.0,0.1,3.0266239998874127,3.2987366
80,81.0,0.3,80.0,0.1,3.571593452065457,3.8724747
81,82.0,0.3,80.0,0.1,4.167595006882287,4.4946365
82,83.0,0.3,80.0,0.1,4.812454509078407,5.1415405
83,84.0,0.3,80.0,0.1,5.503354370110408,5.815811
84,85.0,0.3,80.0,0.1,6.236981231175051,6.6128845
85,86.0,0.3,80.0,0.1,7.009679953236599,7.472412
86,87.0,0.3,80.0,0.1,7.817603708622968,8.344223
87,88.0,0.3,80.0,0.1,8.656851834161344,9.220036
88,89.0,0.3,80.0,0.1,9.523589392060458,10.089745
89,90.0,0.3,80.0,0.1,10.414144763658626,10.997158
90,91.0,0.3,80.0,0.1,11.325083819956845,11.9194565
91,92.0,0.3,80.0,0.1,12.25326109283509,12.904644
92,93.0,0.3,80.0,0.1,13.195849811351053,13.89809
93,94.0,0.3,80.0,0.1,14.150353638498032,14.84782
94,95.0,0.3,80.0,0.1,15.114603471167314,15.797272
95,96.0,0.3,80.0,0.1,16.086742813887753,16.740555
96,97.0,0.3,80.0,0.1,17.06520508987073,17.66912
97,98.0,0.3,80.0,0.1,18.04868590120053,18.604752
98,99.0,0.3,80.0,0.1,19.03611277818915,19.55495
99,100.0,0.3,80.0,0.1,20.026614437550492,20.484837
100,101.0,0.3,80.0,0.1,21.019491055278593,21.39721
101,102.0,0.3,80.0,0.1,22.01418659108792,22.309566
102,103.0,0.3,80.0,0.1,23.01026379963126,23.222351
103,104.0,0.3,80.0,0.1,24.007382239300412,24.153503
104,105.0,0.3,80.0,0.1,25.005279342460184,25.128471
105,106.0,0.3,80.0,0.1,26.00375443518442,26.11856
106,107.0,0.3,80.0,0.1,27.002655479910274,27.108955
107,108.0,0.3,80.0,0.1,28.00186824925929,28.134981
108,109.0,0.3,80.0,0.1,29.00130761193755,29.163889
109,110.0,0.3,80.0,0.1,30.000910611471113,30.22963
110,111.0,0.3,80.0,0.1,31.0006310364803,31.283026
111,112.0,0.3,80.0,0.1,32.00043520995352,32.327103
112,113.0,0.3,80.0,0.1,33.00029875900559,33.37808
113,114.0,0.3,80.0,0.1,34.00020416193283,34.430527
114,115.0,0.3,80.0,0.1,35.00013890336045,35.405056
115,116.0,0.3,80.0,0.1,36.000094099321075,36.37078
116,117.0,0.3,80.0,0.1,37.000063481385595,37.34057
117,118.0,0.3,80.0,0.1,38.00004265223333,38.328346
118,119.0,0.3,80.0,0.1,39.00002854439319,39.328465
119,120.0,0.3,80.0,0.1,40.000019029641024,40.334393
120,121.0,0.3,80.0,0.1,41.000012639127775,41.335426
121,122.0,0.3,80.0,0.1,42.000008364216,42.325363
122,123.0,0.3,80.0,0.1,43.000005515677074,43.334457
123,124.0,0.3,80.0,0.1,44.00000362477164,44.346703
124,125.0,0.3,80.0,0.1,45.00000237417335,45.358944
125,126.0,0.3,80.0,0.1,46.000001550011305,46.371193
126,127.0,0.3,80.0,0.1,47.0000010087596,47.38641
127,128.0,0.3,80.0,0.1,48.000000654499885,48.398354
128,129.0,0.3,80.0,0.1,49.000000423387775,49.425785
129,130.0,0.3,80.0,0.1,50.000000273093065,50.423237
130,131.0,0.3,80.0,0.1,51.00000017565581,51.426167
131,132.0,0.3,80.0,0.1,52.00000011267535,52.442135
132,133.0,0.3,80.0,0.1,53.000000072084816,53.466198
133,134.0,0.3,80.0,0.1,54.00000004599819,54.422455
134,135.0,0.3,80.0,0.1,55.000000029278695,55.396282
135,136.0,0.3,80.0,0.1,56.00000001859125,56.418316
136,137.0,0.3,80.0,0.1,57.0000000117772,57.441845
137,138.0,0.3,80.0,0.1,58.00000000744359,58.467834
138,139.0,0.3,80.0,0.1,59.00000000469416,59.486378
139,140.0,0.3,80.0,0.1,60.00000000295391,60.49543
140,141.0,0.3,80.0,0.1,61.00000000185494,61.51494
141,142.0,0.3,80.0,0.1,62.00000000116246,62.53079
142,143.0,0.3,80.0,0.1,63.000000000727056,63.546776
143,144.0,0.3,80.0,0.1,64.00000000045388,64.57563
144,145.0,0.3,80.0,0.1,65.00000000028281,65.604485
145,146.0,0.3,80.0,0.1,66.00000000017589,66.63477
146,147.0,0.3,80.0,0.1,67.00000000010922,67.65814
147,148.0,0.3,80.0,0.1,68.0000000000677,68.67892
148,149.0,0.3,80.0,0.1,69.0000000000419,69.6926
149,150.0,0.3,80.0,0.1,70.00000000002589,70.710526
