,fwd,vol,strike,expiry,pv,pv_ml
0,1.0,0.3,120.0,0.1,0.0,0.39871216
1,2.0,0.3,120.0,0.1,0.0,0.4005661
2,3.0,0.3,120.0,0.1,0.0,0.39488602
3,4.0,0.3,120.0,0.1,4.989759506694627e-283,0.38513947
4,5.0,0.3,120.0,0.1,1.6876860832317113e-247,0.37330246
5,6.0,0.3,120.0,0.1,2.994199382624404e-220,0.36146545
6,7.0,0.3,120.0,0.1,1.8450958907642676e-198,0.3498001
7,8.0,0.3,120.0,0.1,1.6456609052142711e-180,0.33867264
8,9.0,0.3,120.0,0.1,2.173641714262614e-165,0.32754135
9,10.0,0.3,120.0,0.1,1.9838005511023066e-152,0.31641388
10,11.0,0.3,120.0,0.1,3.642410312348432e-141,0.29576492
11,12.0,0.3,120.0,0.1,2.9036485251869724e-131,0.2732582
12,13.0,0.3,120.0,0.1,1.7780736364321574e-122,0.25684357
13,14.0,0.3,120.0,0.1,1.2906430282331146e-114,0.24199677
14,15.0,0.3,120.0,0.1,1.5552184640234256e-107,0.23651123
15,16.0,0.3,120.0,0.1,4.060047656586303e-101,0.22498322
16,17.0,0.3,120.0,0.1,2.843468299817793e-95,0.22441864
17,18.0,0.3,120.0,0.1,6.357350302968425e-90,0.22670746
18,19.0,0.3,120.0,0.1,5.236192574057659e-85,0.2290039
19,20.0,0.3,120.0,0.1,1.7899261148313106e-80,0.23437881
20,21.0,0.3,120.0,0.1,2.806920957378243e-76,0.2394867
21,22.0,0.3,120.0,0.1,2.1981563641112174e-72,0.24473572
22,23.0,0.3,120.0,0.1,9.242618029987603e-69,0.24946976
23,24.0,0.3,120.0,0.1,2.2207842786130184e-65,0.25376892
24,25.0,0.3,120.0,0.1,3.218240834869029e-62,0.2496872
25,26.0,0.3,120.0,0.1,2.9479856769967353e-59,0.24560165
26,27.0,0.3,120.0,0.1,1.7785957076821708e-56,0.24438477
27,28.0,0.3,120.0,0.1,7.32784556583263e-54,0.23222733
28,29.0,0.3,120.0,0.1,2.1286237665200284e-51,0.21881866
29,30.0,0.3,120.0,0.1,4.484979986305536e-49,0.19159698
30,31.0,0.3,120.0,0.1,7.029671002579975e-47,0.16318893
31,32.0,0.3,120.0,0.1,8.383730570333376e-45,0.13478088
32,33.0,0.3,120.0,0.1,7.763838270359382e-43,0.11193848
33,34.0,0.3,120.0,0.1,5.685708730596115e-41,0.095581055
34,35.0,0.3,120.0,0.1,3.3475428579681426e-39,0.07077789
35,36.0,0.3,120.0,0.1,1.6083883574907945e-37,0.04598236
36,37.0,0.3,120.0,0.1,6.392543861179362e-36,0.022953033
37,38.0,0.3,120.0,0.1,2.127858041633795e-34,-0.0013580322
38,39.0,0.3,120.0,0.1,5.999266679830184e-33,-0.033420563
39,40.0,0.3,120.0,0.1,1.4475185366022858e-31,-0.066185
40,41.0,0.3,120.0,0.1,3.0173956927338326e-30,-0.09432602
41,42.0,0.3,120.0,0.1,5.481518576283918e-29,-0.12244034
42,43.0,0.3,120.0,0.1,8.748002025999312e-28,-0.15056229
43,44.0,0.3,120.0,0.1,1.2355645294602258e-26,-0.17868423
44,45.0,0.3,120.0,0.1,1.5550213963381546e-25,-0.20660782
45,46.0,0.3,120.0,0.1,1.7549602421503018e-24,-0.2337265
46,47.0,0.3,120.0,0.1,1.7865044578349738e-23,-0.26085663
47,48.0,0.3,120.0,0.1,1.649344426049651e-22,-0.28770447
48,49.0,0.3,120.0,0.1,1.3879966119764152e-21,-0.30984116
49,50.0,0.3,120.0,0.1,1.0697541256901429e-20,-0.33324814
50,51.0,0.3,120.0,0.1,7.584188281629672e-20,-0.34609985
51,52.0,0.3,120.0,0.1,4.966481844160126e-19,-0.3541336
52,53.0,0.3,120.0,0.1,3.015592764077452e-18,-0.34465408
53,54.0,0.3,120.0,0.1,1.7038995226984234e-17,-0.3330536
54,55.0,0.3,120.0,0.1,8.98935323321534e-17,-0.31712723
55,56.0,0.3,120.0,0.1,4.442238557795966e-16,-0.28582382
56,57.0,0.3,120.0,0.1,2.0623249255272114e-15,-0.23859787
57,58.0,0.3,120.0,0.1,9.020077038685008e-15,-0.17722702
58,59.0,0.3,120.0,0.1,3.7265469214468287e-14,-0.124507904
59,60.0,0.3,120.0,0.1,1.4578931557262654e-13,-0.08013916
60,61.0,0.3,120.0,0.1,5.413600538163985e-13,-0.026691437
61,62.0,0.3,120.0,0.1,1.912274406190068e-12,0.026741028
62,63.0,0.3,120.0,0.1,6.439130515795897e-12,0.079460144
63,64.0,0.3,120.0,0.1,2.0709892215245257e-11,0.12609863
64,65.0,0.3,120.0,0.1,6.374073240743077e-11,0.15896988
65,66.0,0.3,120.0,0.1,1.8806906238730374e-10,0.17916107
66,67.0,0.3,120.0,0.1,5.328581222281016e-10,0.19770432
67,68.0,0.3,120.0,0.1,1.4520965365217294e-09,0.22005463
68,69.0,0.3,120.0,0.1,3.8118002602663285e-09,0.24393463
69,70.0,0.3,120.0,0.1,9.65259648591578e-09,0.23319244
70,71.0,0.3,120.0,0.1,2.3612162242319125e-08,0.21982574
71,72.0,0.3,120.0,0.1,5.5869485491801644e-08,0.20615005
72,73.0,0.3,120.0,0.1,1.2802767486929096e-07,0.1932869
73,74.0,0.3,120.0,0.1,2.8447307511656215e-07,0.18619919
74,75.0,0.3,120.0,0.1,6.135936351825443e-07,0.18952942
75,76.0,0.3,120.0,0.1,1.2861598402782618e-06,0.19287872
76,77.0,0.3,120.0,0.1,2.6226155307053475e-06,0.19255447
77,78.0,0.3,120.0,0.1,5.207525393503408e-06,0.19911575
78,79.0,0.3,120.0,0.1,1.0078553785939585e-05,0.209198
79,80.0,0.3,120.0,0.1,1.902964102396573e-05,0.2191124
80,81.0,0.3,120.0,0.1,3.508387518782693e-05,0.2010727
81,82.0,0.3,120.0,0.1,6.321098832573653e-05,0.18675613
82,83.0,0.3,120.0,0.1,0.00011138698872879913,0.17217255
83,84.0,0.3,120.0,0.1,0.00019211803387431461,0.17105484
84,85.0,0.3,120.0,0.1,0.00032457525929825877,0.17172241
85,86.0,0.3,120.0,0.1,0.0005375089866814023,0.16770935
86,87.0,0.3,120.0,0.1,0.0008731257381467405,0.16369629
87,88.0,0.3,120.0,0.1,0.001392115308904776,0.15670776
88,89.0,0.3,120.0,0.1,0.002180003040161624,0.14083862
89,90.0,0.3,120.0,0.1,0.003354969911929212,0.12030411
90,91.0,0.3,120.0,0.1,0.0050772266368593055,0.09902191
91,92.0,0.3,120.0,0.1,0.007559945794718359,0.08535385
92,93.0,0.3,120.0,0.1,0.011081648826065937,0.0775795
93,94.0,0.3,120.0,0.1,0.015999815958178343,0.07640076
94,95.0,0.3,120.0,0.1,0.022765343589201015,0.08019638
95,96.0,0.3,120.0,0.1,0.0319373250605951,0.1001358
96,97.0,0.3,120.0,0.1,0.04419748932938328,0.12217331
97,98.0,0.3,120.0,0.1,0.060363511549601734,0.14452362
98,99.0,0.3,120.0,0.1,0.0814003239503096,0.16385269
99,100.0,0.3,120.0,0.1,0.1084285173596804,0.1842804
100,101.0,0.3,120.0,0.1,0.14272894321246632,0.21223831
101,102.0,0.3,120.0,0.1,0.18574270873403087,0.24126053
102,103.0,0.3,120.0,0.1,0.2390659049796895,0.27393723
103,104.0,0.3,120.0,0.1,0.30443861371096315,0.3048706
104,105.0,0.3,120.0,0.1,0.38372799441255445,0.37446594
105,106.0,0.3,120.0,0.1,0.4789055419852595,0.45876312
106,107.0,0.3,120.0,0.1,0.592018910071511,0.5722923
107,108.0,0.3,120.0,0.1,0.7251589938496519,0.7121315
108,109.0,0.3,120.0,0.1,0.8804232385519022,0.8705063
109,110.0,0.3,120.0,0.1,1.0598763666490179,1.0553856
110,111.0,0.3,120.0,0.1,1.2655098816578736,1.2420883
111,112.0,0.3,120.0,0.1,1.499201798562229,1.4262199
112,113.0,0.3,120.0,0.1,1.762678064089446,1.6621933
113,114.0,0.3,120.0,0.1,2.057477064568886,1.9009857
114,115.0,0.3,120.0,0.1,2.3849184804308408,2.1672897
115,116.0,0.3,120.0,0.1,2.746077545105315,2.4800224
116,117.0,0.3,120.0,0.1,3.141765516494786,2.8300362
117,118.0,0.3,120.0,0.1,3.5725168881606493,3.1775742
118,119.0,0.3,120.0,0.1,4.0385835727779735,3.5277672
119,120.0,0.3,120.0,0.1,4.539935999831108,3.9084282
120,121.0,0.3,120.0,0.1,5.07627079891482,4.5555954
121,122.0,0.3,120.0,0.1,5.647024502757972,5.210243
