,fwd,vol,strike,expiry,pv,pv_ml
0,100,0.005,120.0,0.1,0.0,-0.049263
1,100,0.01,120.0,0.1,0.0,-0.07483673
2,100,0.015,120.0,0.1,0.0,-0.08761215
3,100,0.02,120.0,0.1,1.1607818812645419e-184,-0.10474777
4,100,0.024999999999999998,120.0,0.1,2.0826828986610732e-119,-0.12518692
5,100,0.03,120.0,0.1,6.985535460255708e-84,-0.13389206
6,100,0.034999999999999996,120.0,0.1,2.0989569604499693e-62,-0.14260483
7,100,0.04,120.0,0.1,2.0180277250940177e-48,-0.15130615
8,100,0.045,120.0,0.1,8.4164011772338e-39,-0.16225815
9,100,0.049999999999999996,120.0,0.1,6.811965730676989e-32,-0.16976547
10,100,0.055,120.0,0.1,9.257618485883583e-27,-0.17726135
11,100,0.06,120.0,0.1,7.745098488943538e-23,-0.18465805
12,100,0.065,120.0,0.1,9.059620119549541e-20,-0.18836975
13,100,0.06999999999999999,120.0,0.1,2.5393581414262288e-17,-0.18151093
14,100,0.075,120.0,0.1,2.4587419341226256e-15,-0.1736641
15,100,0.08,120.0,0.1,1.061717238656958e-13,-0.1713028
16,100,0.08499999999999999,120.0,0.1,2.4547081222481235e-12,-0.1765747
17,100,0.09,120.0,0.1,3.473160746979045e-11,-0.18183899
18,100,0.095,120.0,0.1,3.322153883029896e-10,-0.19241714
19,100,0.09999999999999999,120.0,0.1,2.31651107545881e-09,-0.22054672
20,100,0.105,120.0,0.1,1.2478102062944567e-08,-0.2724762
21,100,0.11,120.0,0.1,5.432289234343722e-08,-0.3189926
22,100,0.115,120.0,0.1,1.9806732179627725e-07,-0.35441208
23,100,0.12,120.0,0.1,6.222708605843364e-07,-0.389843
24,100,0.125,120.0,0.1,1.7235499551577452e-06,-0.41654968
25,100,0.13,120.0,0.1,4.28773596476749e-06,-0.43942642
26,100,0.13499999999999998,120.0,0.1,9.727885408700307e-06,-0.46784973
27,100,0.13999999999999999,120.0,0.1,2.0383134828120143e-05,-0.49684525
28,100,0.145,120.0,0.1,3.986057782264527e-05,-0.5162964
29,100,0.15,120.0,0.1,7.339320530854506e-05,-0.5145378
30,100,0.155,120.0,0.1,0.00012818249425558884,-0.52581024
31,100,0.16,120.0,0.1,0.00021369496005553199,-0.5447502
32,100,0.165,120.0,0.1,0.0003418871120020525,-0.55631256
33,100,0.16999999999999998,120.0,0.1,0.0005273412203728109,-0.56399536
34,100,0.17500000000000002,120.0,0.1,0.0007873033831849174,-0.5664902
35,100,0.18,120.0,0.1,0.0011416240766953245,-0.5690079
36,100,0.185,120.0,0.1,0.0016126086492251057,-0.57167435
37,100,0.19,120.0,0.1,0.0022247905325404327,-0.5744438
38,100,0.195,120.0,0.1,0.0030046431807665974,-0.57883453
39,100,0.19999999999999998,120.0,0.1,0.003980248083879451,-0.58667374
40,100,0.20500000000000002,120.0,0.1,0.005180935991925206,-0.5913429
41,100,0.21,120.0,0.1,0.006636917142642029,-0.5749817
42,100,0.215,120.0,0.1,0.008378914214633493,-0.546402
43,100,0.22,120.0,0.1,0.01043780928200233,-0.5092659
