,fwd,vol,strike,expiry,pv,pv_ml
0,1.0,0.3,100.0,1.0,3.364574155562782e-54,0.36136627
1,2.0,0.3,100.0,1.0,1.1511892946624288e-39,0.34841156
2,3.0,0.3,100.0,1.0,3.161824300399292e-32,0.33416748
3,4.0,0.3,100.0,1.0,2.010182812422353e-27,0.31993484
4,5.0,0.3,100.0,1.0,5.732410541510443e-24,0.3067093
5,6.0,0.3,100.0,1.0,2.54839688733797e-21,0.29647446
6,7.0,0.3,100.0,1.0,3.3303865286208906e-19,0.28625488
7,8.0,0.3,100.0,1.0,1.8411405386103612e-17,0.27724838
8,9.0,0.3,100.0,1.0,5.401753071233699e-16,0.26329803
9,10.0,0.3,100.0,1.0,9.773187944444224e-15,0.24871445
10,11.0,0.3,100.0,1.0,1.2100499337039382e-13,0.23173523
11,12.0,0.3,100.0,1.0,1.105005460142256e-12,0.22018433
12,13.0,0.3,100.0,1.0,7.867461544232649e-12,0.21063614
13,14.0,0.3,100.0,1.0,4.5555555656110713e-11,0.2010727
14,15.0,0.3,100.0,1.0,2.216708188460252e-10,0.1834526
15,16.0,0.3,100.0,1.0,9.301971998954368e-10,0.16110611
16,17.0,0.3,100.0,1.0,3.4368444837970254e-09,0.15424728
17,18.0,0.3,100.0,1.0,1.1371021019932988e-08,0.14500046
18,19.0,0.3,100.0,1.0,3.416120145761061e-08,0.1336174
19,20.0,0.3,100.0,1.0,9.427262156875148e-08,0.1222229
20,21.0,0.3,100.0,1.0,2.413110079173074e-07,0.11082077
21,22.0,0.3,100.0,1.0,5.776741141936651e-07,0.09946442
22,23.0,0.3,100.0,1.0,1.3024316274783492e-06,0.08991623
23,24.0,0.3,100.0,1.0,2.7823837909810053e-06,0.05819702
24,25.0,0.3,100.0,1.0,5.6616028183645604e-06,0.031391144
25,26.0,0.3,100.0,1.0,1.102294942189759e-05,0.011680603
26,27.0,0.3,100.0,1.0,2.061679554327215e-05,0.016021729
27,28.0,0.3,100.0,1.0,3.7173190826108216e-05,0.01240921
28,29.0,0.3,100.0,1.0,6.481374018562573e-05,0.0026893616
29,30.0,0.3,100.0,1.0,0.00010957834001962393,0.006565094
30,31.0,0.3,100.0,1.0,0.0001800795729211043,0.011779785
31,32.0,0.3,100.0,1.0,0.00028829401295530667,0.014499664
32,33.0,0.3,100.0,1.0,0.0004504950778988631,0.028381348
33,34.0,0.3,100.0,1.0,0.0006883266050745802,0.05039978
34,35.0,0.3,100.0,1.0,0.00103001031712072,0.072013855
35,36.0,0.3,100.0,1.0,0.0015116741195096359,0.094013214
36,37.0,0.3,100.0,1.0,0.002178782083041189,0.116500854
37,38.0,0.3,100.0,1.0,0.0030876413483844553,0.13078308
38,39.0,0.3,100.0,1.0,0.00430695634517729,0.14506531
39,40.0,0.3,100.0,1.0,0.005919396888819539,0.16306686
40,41.0,0.3,100.0,1.0,0.008023144080021027,0.19701004
41,42.0,0.3,100.0,1.0,0.010733376588431875,0.23101044
42,43.0,0.3,100.0,1.0,0.014183659882509136,0.27441788
43,44.0,0.3,100.0,1.0,0.01852720223560944,0.32297897
44,45.0,0.3,100.0,1.0,0.023937943796697003,0.37132645
45,46.0,0.3,100.0,1.0,0.03061144851892783,0.41868973
46,47.0,0.3,100.0,1.0,0.0387655731115093,0.47110748
47,48.0,0.3,100.0,1.0,0.04864089221828738,0.4945488
48,49.0,0.3,100.0,1.0,0.060500864518971964,0.5119591
49,50.0,0.3,100.0,1.0,0.07463173018529679,0.51724243
50,51.0,0.3,100.0,1.0,0.09134213590438056,0.53554535
51,52.0,0.3,100.0,1.0,0.1109624893225043,0.56201553
52,53.0,0.3,100.0,1.0,0.13384405010461298,0.5874901
53,54.0,0.3,100.0,1.0,0.16035776971516946,0.6069946
54,55.0,0.3,100.0,1.0,0.19089289639949691,0.62540436
55,56.0,0.3,100.0,1.0,0.22585536560522312,0.6334343
56,57.0,0.3,100.0,1.0,0.2656659991823256,0.64186096
57,58.0,0.3,100.0,1.0,0.3107585391140577,0.66622925
58,59.0,0.3,100.0,1.0,0.3615775432600108,0.69000244
59,60.0,0.3,100.0,1.0,0.41857617165570904,0.7098923
60,61.0,0.3,100.0,1.0,0.4822138923470103,0.7364464
61,62.0,0.3,100.0,1.0,0.5529541355905856,0.7595978
62,63.0,0.3,100.0,1.0,0.6312619245827946,0.7722626
63,64.0,0.3,100.0,1.0,0.7176015097533739,0.78855515
64,65.0,0.3,100.0,1.0,0.8124340321461929,0.7979126
65,66.0,0.3,100.0,1.0,0.9162152395769416,0.8098068
66,67.0,0.3,100.0,1.0,1.029393277176097,0.8253555
67,68.0,0.3,100.0,1.0,1.1524065716610625,0.84127426
68,69.0,0.3,100.0,1.0,1.2856818262963987,0.87075424
69,70.0,0.3,100.0,1.0,1.4296321410530268,0.9069023
70,71.0,0.3,100.0,1.0,1.5846552700170289,0.948349
71,72.0,0.3,100.0,1.0,1.751132025672126,1.039917
72,73.0,0.3,100.0,1.0,1.9294248373257776,1.237606
73,74.0,0.3,100.0,1.0,2.119876468698907,1.4516373
74,75.0,0.3,100.0,1.0,2.3228088975808614,1.6641884
75,76.0,0.3,100.0,1.0,2.538522358483874,1.8929482
76,77.0,0.3,100.0,1.0,2.7672945474305095,2.1152115
77,78.0,0.3,100.0,1.0,3.009379986382541,2.3450203
78,79.0,0.3,100.0,1.0,3.2650095433768236,2.583088
79,80.0,0.3,100.0,1.0,3.5343901031737595,2.8444672
80,81.0,0.3,100.0,1.0,3.817704382145134,3.1083488
81,82.0,0.3,100.0,1.0,4.115110880226364,3.3800697
82,83.0,0.3,100.0,1.0,4.426743962025117,3.6491318
83,84.0,0.3,100.0,1.0,4.752714058607076,3.9681396
84,85.0,0.3,100.0,1.0,5.093107981057017,4.3531494
85,86.0,0.3,100.0,1.0,5.44798933663143,4.733387
86,87.0,0.3,100.0,1.0,5.81739903816225,5.1144333
87,88.0,0.3,100.0,1.0,6.201355897330171,5.505291
88,89.0,0.3,100.0,1.0,6.5998572924861385,5.8961716
89,90.0,0.3,100.0,1.0,7.012879901849715,6.316635
90,91.0,0.3,100.0,1.0,7.440380493140481,6.742687
91,92.0,0.3,100.0,1.0,7.88229676099202,7.1832542
