,fwd,vol,strike,expiry,pv,pv_ml
0,1.0,0.3,80.0,5.0,2.6986618378227225e-11,-0.9247589
1,2.0,0.3,80.0,5.0,2.6333587078698506e-08,-0.80895233
2,3.0,0.3,80.0,5.0,9.226741554185122e-07,-0.696579
3,4.0,0.3,80.0,5.0,9.345883305859797e-06,-0.5885773
4,5.0,0.3,80.0,5.0,5.006230217981375e-05,-0.48643112
5,6.0,0.3,80.0,5.0,0.00018290719662362033,-0.37838364
6,7.0,0.3,80.0,5.0,0.0005190070350696279,-0.2542534
7,8.0,0.3,80.0,5.0,0.0012324304748511797,-0.13009644
8,9.0,0.3,80.0,5.0,0.002565900808539464,-0.017658234
9,10.0,0.3,80.0,5.0,0.004830908108784511,0.087142944
10,11.0,0.3,80.0,5.0,0.008403367204275244,0.19197464
11,12.0,0.3,80.0,5.0,0.013716173934640682,0.29681015
12,13.0,0.3,80.0,5.0,0.021249904630628313,0.40163803
13,14.0,0.3,80.0,5.0,0.03152267061805289,0.50997925
14,15.0,0.3,80.0,5.0,0.0450798834494352,0.6160927
15,16.0,0.3,80.0,5.0,0.0624844554026166,0.74108887
16,17.0,0.3,80.0,5.0,0.08430777077648888,0.8676224
17,18.0,0.3,80.0,5.0,0.11112161849902302,0.9941635
18,19.0,0.3,80.0,5.0,0.14349117064482808,1.1207199
19,20.0,0.3,80.0,5.0,0.18196901753331607,1.2472458
20,21.0,0.3,80.0,5.0,0.22709022100493748,1.3737946
21,22.0,0.3,80.0,5.0,0.2793683169881397,1.5003433
22,23.0,0.3,80.0,5.0,0.3392921814558294,1.6268768
23,24.0,0.3,80.0,5.0,0.40732366632721084,1.753437
24,25.0,0.3,80.0,5.0,0.4838959107695735,1.8799591
25,26.0,0.3,80.0,5.0,0.5694122364561165,2.0065193
26,27.0,0.3,80.0,5.0,0.6642455410213679,2.134842
27,28.0,0.3,80.0,5.0,0.7687381110788571,2.2683372
28,29.0,0.3,80.0,5.0,0.8832017839335085,2.4018555
29,30.0,0.3,80.0,5.0,1.0079183949999453,2.5353584
30,31.0,0.3,80.0,5.0,1.1431404555816127,2.6654015
31,32.0,0.3,80.0,5.0,1.289092012862286,2.7973518
32,33.0,0.3,80.0,5.0,1.4459696505923065,2.9293861
33,34.0,0.3,80.0,5.0,1.6139435949628105,3.061432
34,35.0,0.3,80.0,5.0,1.7931588955411861,3.1935081
35,36.0,0.3,80.0,5.0,1.9837366559069727,3.32555
36,37.0,0.3,80.0,5.0,2.1857752928134158,3.4576073
37,38.0,0.3,80.0,5.0,2.3993518063496353,3.593338
38,39.0,0.3,80.0,5.0,2.6245230467402862,3.7292252
39,40.0,0.3,80.0,5.0,2.8613269661428777,3.8650932
40,41.0,0.3,80.0,5.0,3.109783846135409,4.0009384
41,42.0,0.3,80.0,5.0,3.3698974935756096,4.1368217
42,43.0,0.3,80.0,5.0,3.6416563991978084,4.273491
43,44.0,0.3,80.0,5.0,3.9250348547359053,4.450817
44,45.0,0.3,80.0,5.0,4.219994025552801,4.647625
45,46.0,0.3,80.0,5.0,4.5264829767518595,4.8392944
46,47.0,0.3,80.0,5.0,4.844439651569971,5.0392876
47,48.0,0.3,80.0,5.0,5.1737918015296955,5.2885704
48,49.0,0.3,80.0,5.0,5.5144578683816015,5.5712357
49,50.0,0.3,80.0,5.0,5.866347818314271,5.883114
50,51.0,0.3,80.0,5.0,6.229363929266448,6.217602
51,52.0,0.3,80.0,5.0,6.603401532455642,6.5570297
