,fwd,vol,strike,expiry,pv,pv_ml
0,1.0,0.3,120.0,5.0,4.4919771567464006e-13,-0.58058167
1,2.0,0.3,120.0,5.0,7.974461821098498e-10,-0.54405594
2,3.0,0.3,120.0,5.0,3.950038061804776e-08,-0.5069351
3,4.0,0.3,120.0,5.0,5.103571915634612e-07,-0.45636368
4,5.0,0.3,120.0,5.0,3.2966451787024826e-06,-0.40579224
5,6.0,0.3,120.0,5.0,1.401882495878969e-05,-0.35536194
6,7.0,0.3,120.0,5.0,4.518343802241778e-05,-0.29984283
7,8.0,0.3,120.0,5.0,0.00011971698729043286,-0.24345398
8,9.0,0.3,120.0,5.0,0.00027436079493543017,-0.18727493
9,10.0,0.3,120.0,5.0,0.0005625425693173793,-0.12303543
10,11.0,0.3,120.0,5.0,0.001056509063128398,-0.058078766
11,12.0,0.3,120.0,5.0,0.00184864571227677,0.006904602
12,13.0,0.3,120.0,5.0,0.0030520081459837513,0.07185745
13,14.0,0.3,120.0,5.0,0.004800150144993097,0.13682556
14,15.0,0.3,120.0,5.0,0.00724636216317677,0.20178986
15,16.0,0.3,120.0,5.0,0.010562443385916637,0.2667656
16,17.0,0.3,120.0,5.0,0.014937126232742709,0.33172607
17,18.0,0.3,120.0,5.0,0.020574260901961017,0.3967018
18,19.0,0.3,120.0,5.0,0.02769085286479045,0.46168137
19,20.0,0.3,120.0,5.0,0.03651503061377817,0.54358673
20,21.0,0.3,120.0,5.0,0.04728400592707932,0.62688446
21,22.0,0.3,120.0,5.0,0.060242075223897296,0.7101631
22,23.0,0.3,120.0,5.0,0.07563869861687805,0.7934761
23,24.0,0.3,120.0,5.0,0.0937266831039249,0.87677765
24,25.0,0.3,120.0,5.0,0.11476048791607235,0.9600754
25,26.0,0.3,120.0,5.0,0.13899466319748488,1.0433693
26,27.0,0.3,120.0,5.0,0.1666824277485346,1.1266708
27,28.0,0.3,120.0,5.0,0.19807438731522697,1.2088661
28,29.0,0.3,120.0,5.0,0.23341739166736852,1.3042831
29,30.0,0.3,120.0,5.0,0.27295352629997405,1.3997002
30,31.0,0.3,120.0,5.0,0.31691923286352175,1.4975166
31,32.0,0.3,120.0,5.0,0.3655445512461568,1.6093674
32,33.0,0.3,120.0,5.0,0.41905247548220936,1.7207756
33,34.0,0.3,120.0,5.0,0.47765841525236175,1.8219185
34,35.0,0.3,120.0,5.0,0.5415697545938745,1.9227219
35,36.0,0.3,120.0,5.0,0.6109854994908162,2.0235481
36,37.0,0.3,120.0,5.0,0.6860960062131123,2.1243706
37,38.0,0.3,120.0,5.0,0.7670827825778392,2.232727
38,39.0,0.3,120.0,5.0,0.8541183546841751,2.339878
39,40.0,0.3,120.0,5.0,0.947366192098662,2.4695778
40,41.0,0.3,120.0,5.0,1.0469806849201566,2.6017418
41,42.0,0.3,120.0,5.0,1.1531071666182857,2.73386
42,43.0,0.3,120.0,5.0,1.2658819770040801,2.8639717
43,44.0,0.3,120.0,5.0,1.385432560147727,2.9916801
44,45.0,0.3,120.0,5.0,1.5118775924999177,3.1114693
45,46.0,0.3,120.0,5.0,1.6453271368957783,3.2228699
46,47.0,0.3,120.0,5.0,1.7858828185206042,3.3566132
47,48.0,0.3,120.0,5.0,1.9336380192934293,3.492672
48,49.0,0.3,120.0,5.0,2.0886780874759765,3.6285973
49,50.0,0.3,120.0,5.0,2.25108055964202,3.762413
50,51.0,0.3,120.0,5.0,2.4209153924442175,3.8962173
51,52.0,0.3,120.0,5.0,2.5982452018943407,4.0302277
52,53.0,0.3,120.0,5.0,2.783125508128199,4.1646194
53,54.0,0.3,120.0,5.0,2.9756049838604604,4.301281
54,55.0,0.3,120.0,5.0,3.175725704947494,4.456497
55,56.0,0.3,120.0,5.0,3.3835234016702067,4.6178474
56,57.0,0.3,120.0,5.0,3.599027709524453,4.7791824
57,58.0,0.3,120.0,5.0,3.8222624184653,4.9405327
58,59.0,0.3,120.0,5.0,4.053245719695168,5.101902
59,60.0,0.3,120.0,5.0,4.291990449214319,5.2499084
60,61.0,0.3,120.0,5.0,4.538504327468701,5.4038544
61,62.0,0.3,120.0,5.0,4.79279019453341,5.5624504
62,63.0,0.3,120.0,5.0,5.054846240363414,5.7077675
63,64.0,0.3,120.0,5.0,5.324666229725526,5.848503
64,65.0,0.3,120.0,5.0,5.602239721499865,6.0214844
65,66.0,0.3,120.0,5.0,5.88755228210386,6.199848
66,67.0,0.3,120.0,5.0,6.180585692850244,6.3923225
